category,weight,wing,tarsus,blength,bdepth,bwidth,Prin1,Prin1 2,Prin2
fortis,14.73,67.34,19.3,11.04,9.02,8.98,-0.603821681,0.186361936,-0.385654878
fortis,15.3,68,19,10.4,9.6,8.8,-0.506042451,0.269431848,-0.918661023
fortis,17.08,68.98,19.15,12,9.52,9.11,0.173542924,0.981458279,-0.104738006
fortis,17.4,68,20,12,9.1,8.6,0.516942408,0.161711004,0.307901604
fortis,16.95,67,18.75,10.9,9.25,8.75,-0.432870714,0.098602246,-0.458670549
fortis,13.91,66.33,17.95,11.04,9.06,8.45,-1.695522112,-0.298312014,-0.159530919
fortis,19.05,67.5,19.75,10.4,9.35,8.55,0.682215435,-0.166406929,-0.697618408
fortis,18.2,67,20.4,11.5,10,9.6,0.732497071,1.68044427,-0.821884923
fortis,18,71,20,11,9.8,8.9,1.211100642,0.697899386,-0.703830494
fortis,15.63,63.34,19,10.04,8.92,8.18,-1.286573708,-0.963927535,-0.552423884
fortis,17.1,68,20,11.2,9.7,9.2,0.446167162,0.971642597,-0.683652733
fortis,17.2,68,18.9,11.9,10,9.5,-0.110555041,1.701220418,-0.545483317
fortis,20.9,68,19.9,10.9,8.8,8.6,1.289897796,-0.394113787,-0.198420568
fortis,15.7,67,20,10.3,8.5,8.2,-0.0683199,-1.191446012,-0.233082901
fortis,16.56,68.83,19.2,10.19,8.81,8.55,0.049613351,-0.644561296,-0.588920632
fortis,15,65,18.6,10.6,9.1,8.5,-1.340448695,-0.348696161,-0.453063928
fortis,16.17,66.67,18.77,10.77,9.47,8.4,-0.667122043,-0.110631024,-0.466618232
fortis,14.5,68,19.9,12,10,9.6,-0.219974116,1.82799519,-0.533727384
fortis,18.6,70,19.1,11.6,10.2,9.4,0.693646229,1.669567121,-0.757585207
fortis,18.9,69,18.9,11.1,10,9.1,0.474707266,1.076080591,-0.823033078
fortis,18.31,68.33,19.45,11.39,9.86,9.1,0.502257196,1.053760834,-0.596343647
fortis,15.3,67,18.9,12,9,8.1,-0.743000846,-0.401682861,0.579820951
fortis,15.5,67.7,19.03,10.37,8.8,8.37,-0.498292984,-0.774226316,-0.398353736
fortis,18.03,69.67,19.37,11.67,9.73,9.17,0.640827107,1.104282362,-0.411784415
fortis,16.1,69,19.3,11.6,8.9,8.8,0.02516156,0.084057601,0.070707365
fortis,14.4,68,19.5,10.7,8.9,8.6,-0.45458912,-0.376063233,-0.356225054
fortis,15.5,65.33,19.17,10.33,8.9,8.77,-0.860994962,-0.319901113,-0.64745011
